nom,rang,adresse,ordre_ens
Barclay,1,,Primaire
Venture,1,,Secondaire
Barthélemy-Vimont annexe,2,,Primaire
Lucien-Pagé,2,,Secondaire
Barthélemy-Vimont,3,,Primaire
Pierre-Dupuy,3,,Secondaire
Camille-Laurin,4,,Primaire
Louis-Joseph-Papineau,4,,Secondaire
"Saint-Noël-Chabanel, Pav. des Découvreurs",5,,Primaire
Chomedey-De Maisonneuve,5,,Secondaire
"Saint-Noël-Chabanel, Pav. des Bâtisseurs",6,,Primaire
Dalbé-Viau,6,,Secondaire
Paul-Jarry,7,,Primaire
Saint-Henri,7,,Secondaire
"Martin-Bélanger, édifice Bélanger",8,,Primaire
James Lyng,8,,Secondaire
JULES-VERNE,9,,Primaire
HENRI-BOURASSA,9,,Secondaire
Saint-Simon-Apôtre,10,,Primaire
Jeanne-Mance,10,,Secondaire
Marguerite-Bourgeoys,11,,Primaire
Nouvelle école secondaire LaSalle,11,,Secondaire
Martin-Bélanger. Édifice Martin,12,,Primaire
Options High,12,,Secondaire
Sinclair Laird,13,,Primaire
Eulalie-Durocher,13,,Secondaire
Sainte-Lucie,14,,Primaire
Georges-Vanier,14,,Secondaire
Champlain,15,,Primaire
"Saint-Henri, transitoire",15,,Secondaire
ADÉLARD-DESROSIERS,16,,Primaire
Académie Dunton,16,,Secondaire
"Très-Saint-Sacrement, édifice du Savoir",17,,Primaire
Honoré-Mercier,17,,Secondaire
"JEAN-NICOLET, annexe",18,,Primaire
Edouard-Montpetit,18,,Secondaire
Garneau,19,,Primaire
CALIXA-LAVALLÉE,19,,Secondaire
Saint-Anselme,20,,Primaire
"Joseph-François-Perrault, annexe",20,,Secondaire
"Marie-Rivier, pav. Louvain",21,,Primaire
Marie-Anne,21,,Secondaire
Saint-Zotique,22,,Primaire
AUX MILLE-VOIX,22,,Secondaire
Jean-Baptiste-Meilleur,23,,Primaire
Vezina,23,,Secondaire
JEAN-NICOLET,24,,Primaire
Joseph-François-Perrault,24,,Secondaire
Saint-Raymond,25,,Primaire
FACE (secondaire),25,,Secondaire
Victor-Rousselot,26,,Primaire
Beurling Academy,26,,Secondaire
De La Petite-Bourgogne,27,,Primaire
Perspectives II,27,,Secondaire
"Marie-Rivier, pav. Legendre",28,,Primaire
SECONDAIRE -  AMOS,28,,Secondaire
Saint-Nom-de-Jésus,29,,Primaire
Marguerite-De Lajemmerais,29,,Secondaire
Saint-François-d'Assise,30,,Primaire
"Saint-Luc, annexe Terrebone",30,,Secondaire
Jeanne-LeBer,31,,Primaire
John F. Kennedy,31,,Secondaire
Armand-Lavergne,32,,Primaire
FOCUS,32,,Secondaire
Saint-Bernardin,33,,Primaire
Marymount Academy International,33,,Secondaire
Notre-Dame-de-l'Assomption,34,,Primaire
"Saint-Luc, annexe",34,,Secondaire
Maisonneuve,35,,Primaire
DANIEL-JOHNSON,35,,Secondaire
Bienville,36,,Primaire
Westmount High School,36,,Secondaire
"Saint-Bernardin, annexe",37,,Primaire
Lakeside Academy,37,,Secondaire
Terre-des-Jeunes,38,,Primaire
Cavelier-De LaSalle,38,,Secondaire
Saint-Clément,39,,Primaire
Louise-Trichet,39,,Secondaire
SAINTE-COLETTE,40,,Primaire
"Lasalle Community Comp. High 
School",40,,Secondaire
Notre-Dame-du-Perpétuel-Secours,41,,Primaire
La Voie,41,,Secondaire
"Au Pied-de-la-Montagne,pav. Jean-Jacques-
Olier",42,,Primaire
Le Vitrail,42,,Secondaire
Westmount Park,43,,Primaire
Académie De Roberval,43,,Secondaire
MONTMARTRE,44,,Primaire
Perspectives I,44,,Secondaire
Notre-Dame-des-Victoires,45,,Primaire
Horizon High School,45,,Secondaire
Montcalm,46,,Primaire
Père-Marquette,46,,Secondaire
Notre-Dame-des-Neiges annexe,47,,Primaire
Saint-Luc,47,,Secondaire
Saint-Mathieu,48,,Primaire
De la Pointe-aux-Trembles,48,,Secondaire
Laurendeau-Dunton,49,,Primaire
Louis-Riel,49,,Secondaire
Saint-Jean-Baptiste-de-la-Salle,50,,Primaire
LA DAUVERSIÈRE,50,,Secondaire
Chanoine-Joseph-Théorêt,51,,Primaire
Rosemount High School,51,,Secondaire
Bedford,52,,Primaire
"Internationale de Montréal 
(seconda",52,,Secondaire
Du Petit-Collège,53,,Primaire
Monseigneur-Richard,53,,Secondaire
Charles-Lemoyne,54,,Primaire
Evangéline,54,,Secondaire
LAMBERT-CLOSSE,55,,Primaire
M.I.N.D.,55,,Secondaire
Au Pied-de-la-Montagne,56,,Primaire
Robert-Gravel,56,,Secondaire
"Très-Saint-Sacrement, édifice de l'avenir",57,,Primaire
"Du Sas, édifice Carson",57,,Secondaire
SAINT-OCTAVE,58,,Primaire
LaurenHill Academy,58,,Secondaire
SAINTE-MARGUERITE-BOURGEOYS,59,,Primaire
ANTOINE-DE-ST-EXUPÉRY,59,,Secondaire
Saint-Albert-le-Grand,60,,Primaire
Programme Mile End,60,,Secondaire
Ludger-Duvernay,61,,Primaire
