nom_cgtsim,rang,adresse_cgtsim
Barclay,1,
Venture,1,
Lucien-Pagé,2,
Barthélemy-Vimont,3,
Pierre-Dupuy,3,
Camille-Laurin,4,
Dalbé-Viau,6,
Paul-Jarry,7,
Saint-Henri,7,
"Martin-Bélanger, édifice Bélanger",8,
James Lyng,8,
JULES-VERNE,9,
HENRI-BOURASSA,9,
Saint-Simon-Apôtre,10,
Jeanne-Mance,10,
Nouvelle école secondaire LaSalle,11,
Martin-Bélanger. Édifice Martin,12,
Options High,12,
Sinclair Laird,13,
Eulalie-Durocher,13,
Sainte-Lucie,14,
Georges-Vanier,14,
Champlain,15,
"Saint-Henri, transitoire",15,
ADÉLARD-DESROSIERS,16,
"Très-Saint-Sacrement, édifice du Savoir",17,
Honoré-Mercier,17,
"JEAN-NICOLET, annexe",18,
Edouard-Montpetit,18,
Garneau,19,
CALIXA-LAVALLÉE,19,
Saint-Anselme,20,
"Joseph-François-Perrault, annexe",20,
"Marie-Rivier, pav. Louvain",21,
Marie-Anne,21,
Saint-Zotique,22,
AUX MILLE-VOIX,22,
Vezina,23,
JEAN-NICOLET,24,
Joseph-François-Perrault,24,
Saint-Raymond,25,
FACE (secondaire),25,
Victor-Rousselot,26,
Beurling Academy,26,
Perspectives II,27,
"Marie-Rivier, pav. Legendre",28,
SECONDAIRE -  AMOS,28,
Saint-Nom-de-Jésus,29,
"Saint-Luc, annexe Terrebone",30,
Jeanne-LeBer,31,
John F. Kennedy,31,
Armand-Lavergne,32,
FOCUS,32,
Saint-Bernardin,33,
Marymount Academy International,33,
"Saint-Luc, annexe",34,
Maisonneuve,35,
DANIEL-JOHNSON,35,
Bienville,36,
Westmount High School,36,
"Saint-Bernardin, annexe",37,
Terre-des-Jeunes,38,
Cavelier-De LaSalle,38,
Saint-Clément,39,
Louise-Trichet,39,
SAINTE-COLETTE,40,
La Voie,41,
"Au Pied-de-la-Montagne,pav. Jean-Jacques-
Olier",42,
Le Vitrail,42,
Westmount Park,43,
MONTMARTRE,44,
Perspectives I,44,
Horizon High School,45,
Montcalm,46,
Père-Marquette,46,
Notre-Dame-des-Neiges annexe,47,
Saint-Luc,47,
Saint-Mathieu,48,
De la Pointe-aux-Trembles,48,
Laurendeau-Dunton,49,
Louis-Riel,49,
LA DAUVERSIÈRE,50,
Rosemount High School,51,
Bedford,52,
"Internationale de Montréal 
(seconda",52,
Du Petit-Collège,53,
Monseigneur-Richard,53,
Charles-Lemoyne,54,
Evangéline,54,
LAMBERT-CLOSSE,55,
M.I.N.D.,55,
Robert-Gravel,56,
"Très-Saint-Sacrement, édifice de l'avenir",57,
"Du Sas, édifice Carson",57,
SAINT-OCTAVE,58,
LaurenHill Academy,58,
ANTOINE-DE-ST-EXUPÉRY,59,
